categoria,ordem,isbn,titulo,autor,editora,cover_url,origem_url
Clube de Literatura Clássica,50,,A Revolução dos Bichos,George Orwell,Clube de Literatura Clássica,,
Clube de Literatura Clássica,51,,Os Trabalhadores do Mar,Victor Hugo,Clube de Literatura Clássica,,
Clube de Literatura Clássica,52,,O último dia de um condenado,Victor Hugo,Clube de Literatura Clássica,,
Clube de Literatura Clássica,53,,Jerusalém Libertada,Torquato Tasso,Clube de Literatura Clássica,,
Clube de Literatura Clássica,54,,A Tempestade,William Shakespeare,Clube de Literatura Clássica,,
Clube de Literatura Clássica,55,,Tempestade e Ímpeto,Friedrich Maximilian Klinger,Clube de Literatura Clássica,,
Clube de Literatura Clássica,56,,Dom Quixote Ilustrado,Gustave Doré,Clube de Literatura Clássica,,
Clube de Literatura Clássica,57,,Um drama no ar; Mestre Zacharius,Jules Verne,Clube de Literatura Clássica,,
Clube de Literatura Clássica,58,,Um diário do ano da peste,Daniel Defoe,Clube de Literatura Clássica,,
Clube de Literatura Clássica,59,,A Peste Escarlate,Jack London,Clube de Literatura Clássica,,
Clube de Literatura Clássica,60,,A Letra Encarnada,Nathaniel Hawthorne,Clube de Literatura Clássica,,
Clube de Literatura Clássica,61,,Quatro Contos Bizarros,Nathaniel Hawthorne,Clube de Literatura Clássica,,
Clube de Literatura Clássica,62,,Os Sertões,Euclides da Cunha,Clube de Literatura Clássica,,
Clube de Literatura Clássica,63,,Tragédia Épica,Francisco Mangabeira,Clube de Literatura Clássica,,
Clube de Literatura Clássica,64,,A Pequena Fadette,George Sand,Clube de Literatura Clássica,,
Clube de Literatura Clássica,65,,O Charco do Diabo,George Sand,Clube de Literatura Clássica,,
Clube de Literatura Clássica,66,,Michael Kohlhaas,Heinrich von Kleist,Clube de Literatura Clássica,,
Clube de Literatura Clássica,67,,Príncipe Frederico de Homburgo,Heinrich von Kleist,Clube de Literatura Clássica,,
Clube de Literatura Clássica,68,,Cadernos do Subterrâneo,Fiódor Dostoiévski,Clube de Literatura Clássica,,
