categoria,ordem,isbn,titulo,autor,editora,cover_url,origem_url
Best Literature in Portuguese,47,,Showdown: A Novel,Jorge Amado,,,https://www.goodreads.com/book/show/214851.Showdown
Best Literature in Portuguese,48,,Ana Terra,Erico Verissimo,,,https://www.goodreads.com/book/show/2336849.Ana_Terra
Best Literature in Portuguese,49,,No teu deserto,Miguel Sousa Tavares,,,https://www.goodreads.com/book/show/6600019-no-teu-deserto
Best Literature in Portuguese,50,,A Bruxa de Portobello,Paulo Coelho,,,https://www.goodreads.com/book/show/816720.The_Witch_of_Portobello
Best Literature in Portuguese,51,,Barba ensopada de sangue,Daniel Galera,,,https://www.goodreads.com/book/show/16089464-barba-ensopada-de-sangue
Best Literature in Portuguese,52,,Os Velhos Marinheiros,Jorge Amado,,,https://www.goodreads.com/book/show/997824.Home_Is_the_Sailor
Best Literature in Portuguese,53,,Verso e Prosa,Mário de Sá-Carneiro,,,https://www.goodreads.com/book/show/15714340-verso-e-prosa
Best Literature in Portuguese,54,,O Santo e a Porca,Ariano Suassuna,,,https://www.goodreads.com/book/show/3213892-o-santo-e-a-porca
Best Literature in Portuguese,55,,O Monge De Cister V.I Ou A Época de D. João I (1859) - Tomo I,Alexandre Herculano,,,https://www.goodreads.com/book/show/8388192-o-monge-de-cister-v-i-ou-a-poca-de-d-jo-o-i-1859---tomo-i
Best Literature in Portuguese,56,,Ecos de París,Eça de Queirós,,,https://www.goodreads.com/book/show/1201988.Ecos_de_Par_s
Best Literature in Portuguese,57,,1808,Laurentino Gomes,,,https://www.goodreads.com/book/show/2867094-1808
Best Literature in Portuguese,58,,Que Importa a Fúria do Mar,Ana Margarida de Carvalho,,,https://www.goodreads.com/book/show/17976720-que-importa-a-f-ria-do-mar
Best Literature in Portuguese,59,,O Centauro no Jardim,Moacyr Scliar,,,https://www.goodreads.com/book/show/1182136.The_Centaur_in_the_Garden
Best Literature in Portuguese,60,,Serões da Província,Júlio Dinis,,,https://www.goodreads.com/book/show/7533461-ser-es-da-prov-ncia
Best Literature in Portuguese,61,,Aprender a Rezar na Era da Técnica,Gonçalo M. Tavares,,,https://www.goodreads.com/book/show/9632051-learning-to-pray-in-the-age-of-technique
Best Literature in Portuguese,62,,A vida como ela é...: o homem fiel e outros contos,Nelson Rodrigues,,,https://www.goodreads.com/book/show/909607.A_vida_como_ela_
Best Literature in Portuguese,63,,Spilt Milk,Chico Buarque,,,https://www.goodreads.com/book/show/13235813-spilt-milk
Best Literature in Portuguese,64,,Macunaima,Mário de Andrade,,,https://www.goodreads.com/book/show/1099648.Macunaima
Best Literature in Portuguese,65,,Inocência,Visconde de Taunay,,,https://www.goodreads.com/book/show/3207931-inoc-ncia
Best Literature in Portuguese,66,,Retalhos da Vida de um Médico - 1ª Série,Fernando Namora,,,https://www.goodreads.com/book/show/7826205-retalhos-da-vida-de-um-m-dico---1-s-rie
Best Literature in Portuguese,67,,A Noiva do Tradutor,João Reis,,,https://www.goodreads.com/book/show/25485249-a-noiva-do-tradutor
Best Literature in Portuguese,68,,Contato Imediato: Nós Não Estamos Sozinhos,Bryant Johnson,,,https://www.goodreads.com/book/show/58710778-contato-imediato
Best Literature in Portuguese,69,,O Olhar do Filho,Núria Añó,,,https://www.goodreads.com/book/show/41964774-o-olhar-do-filho
Best Literature in Portuguese,70,,A escritora morta,Núria Añó,,,https://www.goodreads.com/book/show/42864990-a-escritora-morta
Best Literature in Portuguese,71,,A Festa,Ivan Ângelo,,,https://www.goodreads.com/book/show/1399816.The_Celebration
Best Literature in Portuguese,72,,Balada para Sophie,Filipe Melo,,,https://www.goodreads.com/book/show/54801337-balada-para-sophie
Best Literature in Portuguese,74,,A Hora da Estrela,Clarice Lispector,,,https://www.goodreads.com/book/show/56266088-a-hora-da-estrela
Best Literature in Portuguese,75,,Caçadores de bruxas,Raphael Draccon,,,https://www.goodreads.com/book/show/9086605-ca-adores-de-bruxas
Best Literature in Portuguese,76,,As Meninas,Lygia Fagundes Telles,,,https://www.goodreads.com/book/show/2856197-as-meninas
Best Literature in Portuguese,77,,Os Pobres,Raul Brandão,,,https://www.goodreads.com/book/show/8853156-os-pobres
Best Literature in Portuguese,78,,A Amante Holandesa,J. Rentes de Carvalho,,,https://www.goodreads.com/book/show/10148226-a-amante-holandesa
Best Literature in Portuguese,79,,A Obscena Senhora D,Hilda Hilst,,,https://www.goodreads.com/book/show/3216609-a-obscena-senhora-d
